unicode,Kanji,Definition,On Readings,Kun Readings
U+241C6,𤇆,,,
U+24FA3,𤾣,,,
U+25DA1,𥶡,,,
U+27752,𧝒,,,
U+29780,𩞀,,,
U+29DDA,𩷚,,,
U+29E75,𩹵,,,
U+4093,䂓,"regulations, laws, rules, customs or usages, a pair of compasses",,
U+4453,䑓,"a lookout, a tower, a terrace, a platform, a stage",,
U+4543,䕃,"the shade of a tree, to cover up, to cover or screen",,
U+4572,䕲,,,
U+4C61,䱡,,,
U+4C99,䲙,,,
U+4E00,一,"one, one radical (no.1)","イチ, イツ","ひと-, ひと.つ"
U+4E01,丁,"street, ward, town, counter for guns,  tools,  leaves or cakes of something, even number, 4th calendar sign","チョウ, テイ, チン, トウ, チ",ひのと
U+4E03,七,seven,シチ,"なな, なな.つ, なの"
U+4E07,万,"ten thousand, 10, 000","マン, バン",よろず
U+4E08,丈,"length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely",ジョウ,"たけ, だけ"
U+4E09,三,three,"サン, ゾウ","み, み.つ, みっ.つ"
U+4E0A,上,"above, up","ジョウ, ショウ, シャン","うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, たてまつ.る"
U+4E0B,下,"below, down, descend, give, low, inferior","カ, ゲ","した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる"
U+4E0D,不,"negative, non-, bad, ugly, clumsy","フ, ブ",
U+4E0E,与,"bestow, participate in, give, award, impart, provide, cause, gift, godsend",ヨ,"あた.える, あずか.る, くみ.する, ともに"
U+4E11,丑,"sign of the ox or cow, 1-3AM, second sign of Chinese zodiac",チュウ,うし
U+4E14,且,"moreover, also, furthermore","ショ, ソ, ショウ",か.つ
U+4E16,世,"generation, world, society, public","セイ, セ, ソウ",よ
U+4E17,丗,thirty,"セイ, セ, ソウ","よ, さんじゅう"
U+4E18,丘,"hill, knoll",キュウ,おか
U+4E19,丙,"third class, 3rd, 3rd calendar sign",ヘイ,ひのえ
U+4E1E,丞,help,"ジョウ, ショウ","すく.う, たす.ける"
U+4E21,両,"both, old Japanese coin, counter for carriages (e.g.,  in a train), two",リョウ,"てる, ふたつ"
U+4E26,並,"row, and, besides, as well as, line up, rank with, rival, equal","ヘイ, ホウ","な.み, なみ, なら.べる, なら.ぶ, なら.びに"
U+4E2D,中,"in, inside, middle, mean, center",チュウ,"なか, うち, あた.る"
U+4E32,串,"spit, skewer","カン, ケン, セン","くし, つらぬ.く"
U+4E38,丸,"round, full (month), perfection, -ship, pills, make round, roll up, curl up, seduce, explain away",ガン,"まる, まる.める, まる.い"
U+4E39,丹,"rust-colored, red, red lead, pills, sincerity",タン,に
U+4E3B,主,"lord, chief, master, main thing, principal","シュ, ス, シュウ","ぬし, おも, あるじ"
U+4E3C,丼,"bowl, bowl of food","トン, タン, ショウ, セイ",どんぶり
U+4E42,乂,"mow, cut grass, subdue","ガイ, カイ, ゲ","おさ.める, か.る"
U+4E43,乃,"from, possessive particle, whereupon, accordingly","ナイ, ダイ, ノ, アイ","の, すなわ.ち, なんじ"
U+4E45,久,"long time, old story","キュウ, ク",ひさ.しい
U+4E4B,之,"of, this",シ,"の, これ, ゆく, この"
U+4E4D,乍,"though, notwithstanding, while, during, both, all","サ, サク","-なが.ら, たちま.ち"
U+4E4E,乎,"question mark, ?","コ, オ","か, ああ, かな, や, よ, を"
U+4E4F,乏,"destitution, scarce, limited",ボウ,"とぼ.しい, とも.しい"
U+4E57,乗,"ride, power, multiplication, record, counter for vehicles, board, mount, join","ジョウ, ショウ","の.る, -の.り, の.せる"
U+4E58,乘,"power, multiplication, record, counter for vehicles",ジョウ,"の.る, の.せる"
U+4E59,乙,"the latter, duplicate, strange, witty, fishhook radical (no. 5)","オツ, イツ","おと-, きのと"
U+4E5D,九,nine,"キュウ, ク","ここの, ここの.つ"
U+4E5E,乞,"beg, invite, ask","コツ, キツ, キ, キケ, コチ",こ.う
U+4E5F,也,to be (classical),"ヤ, エ","なり, か, また"
U+4E71,乱,"riot, war, disorder, disturb","ラン, ロン","みだ.れる, みだ.る, みだ.す, みだ, おさ.める, わた.る"
U+4E73,乳,"milk, breasts",ニュウ,"ちち, ち"
U+4E7E,乾,"drought, dry, dessicate, drink up, heaven, emperor","カン, ケン","かわ.く, かわ.かす, ほ.す, ひ.る, いぬい"
U+4E80,亀,"tortoise, turtle","キ, キュウ, キン",かめ
U+4E82,亂,"war, disorder, riot, disturb","ラン, ロン","みだ.れる, みだ.る, みだ.す, みだ.れ, おさ.める, わた.る"
U+4E86,了,"complete, finish",リョウ,
U+4E88,予,"beforehand, previous, myself, I","ヨ, シャ",あらかじ.め
U+4E89,争,"contend, dispute, argue",ソウ,"あらそ.う, いか.でか"
U+4E8B,事,"matter, thing, fact, business, reason, possibly","ジ, ズ","こと, つか.う, つか.える"
U+4E8C,二,"two, two radical (no. 7)","ニ, ジ","ふた, ふた.つ, ふたたび"
U+4E8E,于,"going, from","ウ, ク","ここに, ああ, おいて, に, より, を"
U+4E91,云,say,ウン,"い.う, ここに"
U+4E92,互,"mutually, reciprocally, together",ゴ,"たが.い, かたみ.に"
U+4E94,五,five,ゴ,"いつ, いつ.つ"
U+4E95,井,"well, well crib, town, community","セイ, ショウ",い
U+4E98,亘,"span, range, extend over","コウ, カン, セン","わた.る, もと.める"
U+4E99,亙,"range, reach, extend, cover","コウ, カン","わた.る, もと.める"
U+4E9B,些,"a little bit, sometimes","サ, シャ","ち.と, ち.っと, いささか"
U+4EA1,亡,"deceased, the late, dying, perish","ボウ, モウ","な.い, な.き-, ほろ.びる, ほろ.ぶ, ほろ.ぼす"
U+4EA4,交,"mingle, mixing, association, coming & going",コウ,"まじ.わる, まじ.える, ま.じる, まじ.る, ま.ざる, ま.ぜる, -か.う, か.わす, かわ.す, こもごも"
U+4EA5,亥,"sign of the hog, 9-11PM, twelfth sign of the Chinese zodiac","ガイ, カイ",い
U+4EA6,亦,"also, again","エキ, ヤク",また
U+4EA8,亨,"pass through, go smoothly","コウ, キョウ, ホウ",とお.る
U+4EAB,享,"enjoy, receive, undergo, answer (phone), take, get, catch","キョウ, コウ",う.ける
U+4EAC,京,"capital, 10**16","キョウ, ケイ, キン",みやこ
U+4EAD,亭,"pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name","テイ, チン",
U+4EAE,亮,"clear, help",リョウ,あきらか
U+4EBA,人,person,"ジン, ニン","ひと, -り, -と"
U+4EC0,什,"utensil, thing, ten","ジュウ, シュウ",
U+4EC1,仁,"humanity, virtue, benevolence, charity, man, kernel","ジン, ニ, ニン",
U+4EC2,仂,"surplus or excess, remainder","ドウ, リュク, リキ, ロク, リョク",はたら.く
U+4EC7,仇,"foe, enemy, revenge, grudge, feud","キュウ, グ","あだ, あた, かたき, つれあい"
U+4ECA,今,now,"コン, キン",いま
U+4ECB,介,"jammed in, shellfish, mediate, concern oneself with",カイ,
U+4ECD,仍,"therefore, consequently","ジョウ, ニョウ","よ.って, しきりに, なお, よる"
U+4ECF,仏,"Buddha, the dead, France","ブツ, フツ",ほとけ
U+4ED4,仔,"offspring (animal), detailed, fine",シ,"こ, た.える"
U+4ED5,仕,"attend, doing, official, serve","シ, ジ",つか.える
U+4ED6,他,"other, another, the others",タ,ほか
U+4ED8,付,"adhere, attach, refer to, append",フ,"つ.ける, -つ.ける, -づ.ける, つ.け, つ.け-, -つ.け, -づ.け, -づけ, つ.く, -づ.く, つ.き, -つ.き, -つき, -づ.き, -づき"
U+4ED9,仙,"hermit, wizard, cent","セン, セント",
U+4EDD,仝,,,
U+4EE3,代,"substitute, change, convert, replace, period, age, counter for decades of ages,  eras,  etc., generation, charge, rate, fee","ダイ, タイ","か.わる, かわ.る, かわ.り, か.わり, -がわ.り, -が.わり, か.える, よ, しろ"
U+4EE4,令,"orders, laws, command, decree, good",レイ,
U+4EE5,以,"by means of, because, in view of, compared with",イ,もっ.て
U+4EED,仭,fathom,ジン,はか.る
U+4EEE,仮,"sham, temporary, interim, assumed (name), informal","カ, ケ","かり, かり-"
U+4EF0,仰,"face-up, look up, depend, seek, respect, revere, drink, take","ギョウ, コウ","あお.ぐ, おお.せ, お.っしゃる, おっしゃ.る"
U+4EF2,仲,"go-between, relationship",チュウ,なか
U+4EF6,件,"affair, case, matter, item",ケン,くだん
U+4EFB,任,"responsibility, duty, term, entrust to, appoint",ニン,"まか.せる, まか.す"
U+4F0A,伊,"Italy, that one",イ,かれ
U+4F0D,伍,"five, five-man squad, file, line",ゴ,いつつ
U+4F0F,伏,"prostrated, bend down, bow, cover, lay (pipes)",フク,"ふ.せる, ふ.す"
U+4F10,伐,"fell, strike, attack, punish","バツ, ハツ, カ, ボチ","き.る, そむ.く, う.つ"
U+4F11,休,"rest, day off, retire, sleep",キュウ,"やす.む, やす.まる, やす.める"
U+4F1A,会,"meeting, meet, party, association, interview, join","カイ, エ","あ.う, あ.わせる, あつ.まる"
U+4F1D,伝,"transmit, go along, walk along, follow, report, communicate, legend, tradition","デン, テン","つた.わる, つた.える, つた.う, つだ.う, -づた.い, つて"
U+4F2F,伯,"chief, count, earl, uncle, Brazil",ハク,
U+4F34,伴,"consort, accompany, bring with, companion","ハン, バン",ともな.う
U+4F38,伸,"expand, stretch, extend, lengthen, increase",シン,"の.びる, の.ばす, の.べる, の.す"
U+4F3A,伺,"pay respects, visit, ask, inquire, question, implore",シ,うかが.う
U+4F3C,似,"becoming, resemble, counterfeit, imitate, suitable",ジ,"に.る, ひ.る"
U+4F3D,伽,"nursing, attending, entertainer","カ, ガ, キャ, ギャ",とぎ
U+4F46,但,"however, but",タン,ただ.し
U+4F47,佇,"stop, linger, appearance, figure, bearing",チョ,たたず.む
U+4F4D,位,"rank, grade, throne, crown, about, some",イ,"くらい, ぐらい"
U+4F4E,低,"lower, short, humble",テイ,"ひく.い, ひく.める, ひく.まる"
U+4F4F,住,"dwell, reside, live, inhabit","ジュウ, ヂュウ, チュウ","す.む, す.まう, -ず.まい"
U+4F50,佐,"assistant, help",サ,
U+4F53,体,"body, substance, object, reality, counter for images","タイ, テイ","からだ, かたち"
U+4F55,何,what,カ,"なに, なん, なに-, なん-"
U+4F59,余,"too much, myself, surplus, other, remainder",ヨ,"あま.る, あま.り, あま.す, あんま.り"
U+4F5B,佛,France,"ブツ, フツ",ほとけ
U+4F5C,作,"make, production, prepare, build","サク, サ","つく.る, つく.り, -づく.り"
U+4F69,佩,"wear, put on (a sword)",ハイ,"は.く, お.びる, おびだま"
U+4F73,佳,"excellent, beautiful, good, pleasing, skilled",カ,
U+4F75,併,"join, get together, unite, collective",ヘイ,あわ.せる
U+4F76,佶,"healthy, correct","キツ, キチ",
U+4F7F,使,"use, send on a mission, order, messenger, envoy, ambassador, cause",シ,"つか.う, つか.い, -つか.い, -づか.い"
U+4F86,來,"come, due, next, cause, become","ライ, タイ","く.る, きた.る, きた.す, き.たす, き.たる"
U+4F8B,例,"example, custom, usage, precedent",レイ,たと.える
U+4F8D,侍,"waiter, samurai, wait upon, serve","ジ, シ","さむらい, はべ.る"
U+4F98,侘,"proud, lonely",タ,"わび.しい, ほこ.る, わ.びる"
U+4F9B,供,"submit, offer, present, serve (meal), accompany","キョウ, ク, クウ, グ","そな.える, とも, -ども"
U+4F9D,依,"reliant, depend on, consequently, therefore, due to","イ, エ",よ.る
U+4FA0,侠,"tomboy, chivalry",キョウ,"きゃん, おとこだて"
U+4FAD,侭,"as it is, because",ジン,"まま, ことごとく"
U+4FAE,侮,"scorn, despise, make light of, contempt",ブ,"あなど.る, あなず.る"
U+4FAF,侯,"marquis, lord, daimyo",コウ,
U+4FB2,侲,,シン,"わらべ, よいわらべ, うまかい, はした.め"
U+4FBF,便,"convenience, facility, excrement, feces, letter, chance","ベン, ビン",たよ.り
U+4FC2,係,"person in charge, connection, duty, concern oneself",ケイ,"かか.る, かかり, -がかり, かか.わる"
U+4FC3,促,"stimulate, urge, press, demand, incite",ソク,うなが.す
U+4FC4,俄,"sudden, abrupt, improvised",ガ,にわか
U+4FCA,俊,"sagacious, genius, excellence",シュン,
U+4FCE,俎,"altar of sacrifice, chopping board","ソ, ショ","いた, まないた"
U+4FD7,俗,"vulgar, customs, manners, worldliness, mundane things",ゾク,
U+4FDD,保,"protect, guarantee, keep, preserve, sustain, support","ホ, ホウ",たも.つ
U+4FDF,俟,"wait, depend on",シ,ま.つ
U+4FE1,信,"faith, truth, fidelity, trust",シン,
U+4FE4,俤,"visage, face, trace, shadow, memory, (kokuji)",,おもかげ
U+4FEE,修,"discipline, conduct oneself well, study, master","シュウ, シュ","おさ.める, おさ.まる"
U+4FEF,俯,"bend down, lie prostrate",フ,"ふ.す, うつむ.く, ふ.せる"
U+4FF3,俳,"haiku, actor",ハイ,
U+4FF5,俵,"bag, bale, sack, counter for bags",ヒョウ,たわら
U+4FF8,俸,"stipend, salary",ホウ,
U+5009,倉,"godown, warehouse, storehouse, cellar, treasury",ソウ,くら
U+500B,個,"individual, counter for articles","コ, カ",
U+500D,倍,"double, twice, times, fold",バイ,
U+5011,們,plural suffix,モン,ともがら
